tanggal,region,ump_daily,ump
2024-04-03,Jakarta Barat,168912.7,5067381.0
2024-04-04,Jakarta Barat,168912.7,5067381.0
2024-04-05,Jakarta Barat,168912.7,5067381.0
2024-04-06,Jakarta Barat,168912.7,5067381.0
2024-04-07,Jakarta Barat,168912.7,5067381.0
2024-04-08,Jakarta Barat,168912.7,5067381.0
2024-04-09,Jakarta Barat,168912.7,5067381.0
2024-04-10,Jakarta Barat,168912.7,5067381.0
2024-04-11,Jakarta Barat,168912.7,5067381.0
2024-04-12,Jakarta Barat,168912.7,5067381.0
2024-04-13,Jakarta Barat,168912.7,5067381.0
2024-04-14,Jakarta Barat,168912.7,5067381.0
2024-04-15,Jakarta Barat,168912.7,5067381.0
2024-04-16,Jakarta Barat,168912.7,5067381.0
2024-04-17,Jakarta Barat,168912.7,5067381.0
2024-04-18,Jakarta Barat,168912.7,5067381.0
2024-04-19,Jakarta Barat,168912.7,5067381.0
2024-04-20,Jakarta Barat,168912.7,5067381.0
2024-04-21,Jakarta Barat,168912.7,5067381.0
2024-04-22,Jakarta Barat,168912.7,5067381.0
2024-04-23,Jakarta Barat,168912.7,5067381.0
2024-04-24,Jakarta Barat,168912.7,5067381.0
2024-04-25,Jakarta Barat,168912.7,5067381.0
2024-04-26,Jakarta Barat,168912.7,5067381.0
2024-04-27,Jakarta Barat,168912.7,5067381.0
2024-04-28,Jakarta Barat,168912.7,5067381.0
2024-04-29,Jakarta Barat,168912.7,5067381.0
2024-04-30,Jakarta Barat,168912.7,5067381.0
2024-05-01,Jakarta Barat,163463.90322580645,5067381.0
2024-05-02,Jakarta Barat,163463.90322580645,5067381.0
2024-05-03,Jakarta Barat,163463.90322580645,5067381.0
2024-05-04,Jakarta Barat,163463.90322580645,5067381.0
2024-05-05,Jakarta Barat,163463.90322580645,5067381.0
2024-05-06,Jakarta Barat,163463.90322580645,5067381.0
2024-05-07,Jakarta Barat,163463.90322580645,5067381.0
2024-05-08,Jakarta Barat,163463.90322580645,5067381.0
2024-05-09,Jakarta Barat,163463.90322580645,5067381.0
2024-05-10,Jakarta Barat,163463.90322580645,5067381.0
2024-05-11,Jakarta Barat,163463.90322580645,5067381.0
2024-05-12,Jakarta Barat,163463.90322580645,5067381.0
2024-05-13,Jakarta Barat,163463.90322580645,5067381.0
2024-05-14,Jakarta Barat,163463.90322580645,5067381.0
2024-05-15,Jakarta Barat,163463.90322580645,5067381.0
2024-05-16,Jakarta Barat,163463.90322580645,5067381.0
2024-05-17,Jakarta Barat,163463.90322580645,5067381.0
2024-05-18,Jakarta Barat,163463.90322580645,5067381.0
2024-05-19,Jakarta Barat,163463.90322580645,5067381.0
2024-05-20,Jakarta Barat,163463.90322580645,5067381.0
2024-05-21,Jakarta Barat,163463.90322580645,5067381.0
2024-05-22,Jakarta Barat,163463.90322580645,5067381.0
2024-05-23,Jakarta Barat,163463.90322580645,5067381.0
2024-05-24,Jakarta Barat,163463.90322580645,5067381.0
2024-05-25,Jakarta Barat,163463.90322580645,5067381.0
2024-05-26,Jakarta Barat,163463.90322580645,5067381.0
2024-05-27,Jakarta Barat,163463.90322580645,5067381.0
2024-05-28,Jakarta Barat,163463.90322580645,5067381.0
2024-05-29,Jakarta Barat,163463.90322580645,5067381.0
2024-05-30,Jakarta Barat,163463.90322580645,5067381.0
2024-05-31,Jakarta Barat,163463.90322580645,5067381.0
2024-06-01,Jakarta Barat,168912.7,5067381.0
2024-06-02,Jakarta Barat,168912.7,5067381.0
2024-06-03,Jakarta Barat,168912.7,5067381.0
2024-06-04,Jakarta Barat,168912.7,5067381.0
2024-06-05,Jakarta Barat,168912.7,5067381.0
2024-06-06,Jakarta Barat,168912.7,5067381.0
2024-06-07,Jakarta Barat,168912.7,5067381.0
2024-06-08,Jakarta Barat,168912.7,5067381.0
2024-06-09,Jakarta Barat,168912.7,5067381.0
2024-06-10,Jakarta Barat,168912.7,5067381.0
2024-06-11,Jakarta Barat,168912.7,5067381.0
2024-06-12,Jakarta Barat,168912.7,5067381.0
2024-06-13,Jakarta Barat,168912.7,5067381.0
2024-06-14,Jakarta Barat,168912.7,5067381.0
2024-06-15,Jakarta Barat,168912.7,5067381.0
2024-06-16,Jakarta Barat,168912.7,5067381.0
2024-06-17,Jakarta Barat,168912.7,5067381.0
2024-06-18,Jakarta Barat,168912.7,5067381.0
2024-06-19,Jakarta Barat,168912.7,5067381.0
2024-06-20,Jakarta Barat,168912.7,5067381.0
2024-06-21,Jakarta Barat,168912.7,5067381.0
2024-06-22,Jakarta Barat,168912.7,5067381.0
2024-06-23,Jakarta Barat,168912.7,5067381.0
2024-06-24,Jakarta Barat,168912.7,5067381.0
2024-06-25,Jakarta Barat,168912.7,5067381.0
2024-06-26,Jakarta Barat,168912.7,5067381.0
2024-06-27,Jakarta Barat,168912.7,5067381.0
2024-06-28,Jakarta Barat,168912.7,5067381.0
2024-06-29,Jakarta Barat,168912.7,5067381.0
2024-06-30,Jakarta Barat,168912.7,5067381.0
2024-07-01,Jakarta Barat,163463.90322580645,5067381.0
2024-07-02,Jakarta Barat,163463.90322580645,5067381.0
2024-07-03,Jakarta Barat,163463.90322580645,5067381.0
2024-07-04,Jakarta Barat,163463.90322580645,5067381.0
2024-07-05,Jakarta Barat,163463.90322580645,5067381.0
2024-07-06,Jakarta Barat,163463.90322580645,5067381.0
2024-07-07,Jakarta Barat,163463.90322580645,5067381.0
2024-07-08,Jakarta Barat,163463.90322580645,5067381.0
2024-07-09,Jakarta Barat,163463.90322580645,5067381.0
2024-07-10,Jakarta Barat,163463.90322580645,5067381.0
2024-07-11,Jakarta Barat,163463.90322580645,5067381.0
2024-07-12,Jakarta Barat,163463.90322580645,5067381.0
2024-07-13,Jakarta Barat,163463.90322580645,5067381.0
2024-07-14,Jakarta Barat,163463.90322580645,5067381.0
2024-07-15,Jakarta Barat,163463.90322580645,5067381.0
2024-07-16,Jakarta Barat,163463.90322580645,5067381.0
2024-07-17,Jakarta Barat,163463.90322580645,5067381.0
2024-07-18,Jakarta Barat,163463.90322580645,5067381.0
2024-07-19,Jakarta Barat,163463.90322580645,5067381.0
2024-07-20,Jakarta Barat,163463.90322580645,5067381.0
2024-07-21,Jakarta Barat,163463.90322580645,5067381.0
2024-07-22,Jakarta Barat,163463.90322580645,5067381.0
2024-07-23,Jakarta Barat,163463.90322580645,5067381.0
2024-07-24,Jakarta Barat,163463.90322580645,5067381.0
2024-07-25,Jakarta Barat,163463.90322580645,5067381.0
2024-07-26,Jakarta Barat,163463.90322580645,5067381.0
2024-07-27,Jakarta Barat,163463.90322580645,5067381.0
2024-07-28,Jakarta Barat,163463.90322580645,5067381.0
2024-07-29,Jakarta Barat,163463.90322580645,5067381.0
2024-07-30,Jakarta Barat,163463.90322580645,5067381.0
2024-07-31,Jakarta Barat,163463.90322580645,5067381.0
2024-08-01,Jakarta Barat,163463.90322580645,5067381.0
2024-08-02,Jakarta Barat,163463.90322580645,5067381.0
2024-08-03,Jakarta Barat,163463.90322580645,5067381.0
2024-08-04,Jakarta Barat,163463.90322580645,5067381.0
2024-08-05,Jakarta Barat,163463.90322580645,5067381.0
2024-08-06,Jakarta Barat,163463.90322580645,5067381.0
2024-08-07,Jakarta Barat,163463.90322580645,5067381.0
2024-08-08,Jakarta Barat,163463.90322580645,5067381.0
2024-08-09,Jakarta Barat,163463.90322580645,5067381.0
2024-08-10,Jakarta Barat,163463.90322580645,5067381.0
2024-08-11,Jakarta Barat,163463.90322580645,5067381.0
2024-08-12,Jakarta Barat,163463.90322580645,5067381.0
2024-08-13,Jakarta Barat,163463.90322580645,5067381.0
2024-08-14,Jakarta Barat,163463.90322580645,5067381.0
2024-08-15,Jakarta Barat,163463.90322580645,5067381.0
2024-08-16,Jakarta Barat,163463.90322580645,5067381.0
2024-08-17,Jakarta Barat,163463.90322580645,5067381.0
2024-08-18,Jakarta Barat,163463.90322580645,5067381.0
2024-08-19,Jakarta Barat,163463.90322580645,5067381.0
2024-08-20,Jakarta Barat,163463.90322580645,5067381.0
2024-08-21,Jakarta Barat,163463.90322580645,5067381.0
2024-08-22,Jakarta Barat,163463.90322580645,5067381.0
2024-08-23,Jakarta Barat,163463.90322580645,5067381.0
2024-08-24,Jakarta Barat,163463.90322580645,5067381.0
2024-08-25,Jakarta Barat,163463.90322580645,5067381.0
2024-08-26,Jakarta Barat,163463.90322580645,5067381.0
2024-08-27,Jakarta Barat,163463.90322580645,5067381.0
2024-08-28,Jakarta Barat,163463.90322580645,5067381.0
2024-08-29,Jakarta Barat,163463.90322580645,5067381.0
2024-08-30,Jakarta Barat,163463.90322580645,5067381.0
2024-08-31,Jakarta Barat,163463.90322580645,5067381.0
2024-09-01,Jakarta Barat,168912.7,5067381.0
2024-09-02,Jakarta Barat,168912.7,5067381.0
2024-09-03,Jakarta Barat,168912.7,5067381.0
2024-09-04,Jakarta Barat,168912.7,5067381.0
2024-09-05,Jakarta Barat,168912.7,5067381.0
2024-09-06,Jakarta Barat,168912.7,5067381.0
2024-09-07,Jakarta Barat,168912.7,5067381.0
2024-09-08,Jakarta Barat,168912.7,5067381.0
2024-09-09,Jakarta Barat,168912.7,5067381.0
2024-09-10,Jakarta Barat,168912.7,5067381.0
2024-09-11,Jakarta Barat,168912.7,5067381.0
2024-09-12,Jakarta Barat,168912.7,5067381.0
2024-09-13,Jakarta Barat,168912.7,5067381.0
2024-09-14,Jakarta Barat,168912.7,5067381.0
2024-09-15,Jakarta Barat,168912.7,5067381.0
2024-09-16,Jakarta Barat,168912.7,5067381.0
2024-09-17,Jakarta Barat,168912.7,5067381.0
2024-09-18,Jakarta Barat,168912.7,5067381.0
2024-09-19,Jakarta Barat,168912.7,5067381.0
2024-09-20,Jakarta Barat,168912.7,5067381.0
2024-09-21,Jakarta Barat,168912.7,5067381.0
2024-09-22,Jakarta Barat,168912.7,5067381.0
2024-09-23,Jakarta Barat,168912.7,5067381.0
2024-09-24,Jakarta Barat,168912.7,5067381.0
2024-09-25,Jakarta Barat,168912.7,5067381.0
2024-09-26,Jakarta Barat,168912.7,5067381.0
2024-09-27,Jakarta Barat,168912.7,5067381.0
2024-09-28,Jakarta Barat,168912.7,5067381.0
2024-09-29,Jakarta Barat,168912.7,5067381.0
