kategori_makanan,tahun,date,ratarata_pengeluaran_per_kapita,iqr_low,iqr_high,expenditure_value,outlier_iqr
Bumbu-bumbuan/Spices,2024,01/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,02/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,03/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,04/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,05/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,06/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,07/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,08/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,09/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,10/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,11/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,12/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,13/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,14/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,15/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,16/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,17/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,18/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,19/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,20/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,21/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,22/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,23/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,24/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,25/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,26/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,27/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,28/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,29/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,30/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,31/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,01/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,02/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,03/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,04/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,05/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,06/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,07/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,08/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,09/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,10/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,11/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,12/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,13/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,14/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,15/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,16/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,17/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,18/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,19/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,20/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,21/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,22/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,23/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,24/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,25/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,26/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,27/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,28/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,29/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,01/03/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,02/03/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,03/03/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,04/03/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,05/03/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,06/03/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,07/03/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,08/03/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,09/03/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,10/03/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,11/03/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,12/03/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,13/03/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,14/03/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,15/03/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,16/03/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,17/03/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,18/03/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,19/03/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,20/03/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,21/03/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
